university_name,degree_program_link,program_name,degree_type,campuses,program_link
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Business Economics,Bachelor of Science in Business (B.S.B.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/business-economics-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Cadastral/Land Surveying,Undergraduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/land-surveying-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Carbon Capture Utilization and Storage,Undergraduate Certificate,"Laramie Campus, Online, Hybrid",https://www.uwyo.edu/uw/degree-programs/ccus-certificate.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Ceramics,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/ceramics-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Certified Financial Planning,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/certified-financial-planning.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Chemical Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/chemical-engineering-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Chemical Engineering,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/chemical-engineering-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Chemical Engineering,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/chemical-engineering-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Chemistry,Bachelor of Arts (B.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/chemistry-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Chemistry,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/chemistry-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Chemistry,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/chemistry-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Chinese,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/chinese-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Civil Engineering,Bachelor of Science (B.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/civil-engineering-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Civil Engineering,Master of Science (M.S.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/civil-engineering-ms.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Civil Engineering,Doctor of Philosophy (Ph.D.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/civil-engineering-phd.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Classical Civilizations,Undergraduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/classical-civilizations-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Collaborative Practice,Graduate Minor,Laramie Campus,https://www.uwyo.edu/uw/degree-programs/collaborative-practice-graduate-minor.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Communication,Bachelor of Arts (B.A.),"Laramie Campus, UW Casper",https://www.uwyo.edu/uw/degree-programs/communication-bachelors.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Communication,Master of Arts (M.A.),Laramie Campus,https://www.uwyo.edu/uw/degree-programs/communication-masters.html
University of Wyoming,https://www.uwyo.edu/uw/degree-programs/index.html,Community & Public Health,Graduate Certificate,Online,https://www.uwyo.edu/uw/degree-programs/community-public-health-certificate.html
